Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
REMIND-MAgPIE 2.1-4.2,Below 2°C,World,Primary Energy|Biomass,EJ/yr,52.8509,59.6514,64.7686,66.468,74.8236,92.6048,103.7559,106.9676,105.8403,104.6524
REMIND-MAgPIE 2.1-4.2,Below 2°C,World,Primary Energy|Coal,EJ/yr,146.9801,160.7689,75.1695,11.7297,4.1162,3.8846,3.6456,3.681,3.5914,3.3232
REMIND-MAgPIE 2.1-4.2,Below 2°C,World,Primary Energy|Gas,EJ/yr,103.5435,124.65,120.3787,89.9822,60.7542,52.5562,49.9206,52.425,51.2355,47.6673
REMIND-MAgPIE 2.1-4.2,Below 2°C,World,Primary Energy|Non-Biomass Renewables,EJ/yr,15.7437,28.6877,73.5286,141.49,194.0052,232.4988,274.737,313.6929,342.4558,374.5477
REMIND-MAgPIE 2.1-4.2,Below 2°C,World,Primary Energy|Nuclear,EJ/yr,9.5105,8.0405,7.1271,7.0278,6.2881,4.8132,3.1878,1.6187,0.6292,0.1635
REMIND-MAgPIE 2.1-4.2,Below 2°C,World,Primary Energy|Oil,EJ/yr,173.5646,178.0371,194.2297,181.591,138.5677,101.6997,81.2307,68.1353,59.4191,50.9619
REMIND-MAgPIE 2.1-4.2,Current Policies,World,Primary Energy|Biomass,EJ/yr,52.8509,59.6514,62.9215,57.0378,52.2093,51.9666,59.0287,72.3588,79.2943,86.5653
REMIND-MAgPIE 2.1-4.2,Current Policies,World,Primary Energy|Coal,EJ/yr,146.9801,160.7689,162.9385,162.5614,176.0613,188.3197,213.0182,240.1676,236.6209,212.6659
REMIND-MAgPIE 2.1-4.2,Current Policies,World,Primary Energy|Gas,EJ/yr,103.5435,124.65,135.687,144.3664,145.7729,137.0575,124.7952,116.0791,100.3961,87.9775
REMIND-MAgPIE 2.1-4.2,Current Policies,World,Primary Energy|Non-Biomass Renewables,EJ/yr,15.7437,28.6877,50.3465,76.9744,106.9384,144.9991,191.0817,237.049,275.3997,309.9166
REMIND-MAgPIE 2.1-4.2,Current Policies,World,Primary Energy|Nuclear,EJ/yr,9.5105,8.0405,7.2232,7.9577,7.8364,6.8001,5.3081,3.3208,1.6943,0.7355
REMIND-MAgPIE 2.1-4.2,Current Policies,World,Primary Energy|Oil,EJ/yr,173.5646,178.0371,197.7914,205.5472,178.6721,139.3483,97.2848,61.124,46.1395,41.6526
REMIND-MAgPIE 2.1-4.2,Delayed transition,World,Primary Energy|Biomass,EJ/yr,52.8509,59.6514,62.9215,70.4566,94.5187,108.2785,108.8976,107.6411,105.9304,105.2139
REMIND-MAgPIE 2.1-4.2,Delayed transition,World,Primary Energy|Coal,EJ/yr,146.9801,160.7689,162.9385,8.5015,2.0192,1.7126,1.4888,1.5583,1.553,1.2183
REMIND-MAgPIE 2.1-4.2,Delayed transition,World,Primary Energy|Gas,EJ/yr,103.5435,124.65,135.687,64.9775,30.5956,21.1083,11.9337,7.264,3.471,2.5029
REMIND-MAgPIE 2.1-4.2,Delayed transition,World,Primary Energy|Non-Biomass Renewables,EJ/yr,15.7437,28.6877,50.3465,131.7703,210.5421,263.5047,312.4478,367.4629,409.2325,437.356
REMIND-MAgPIE 2.1-4.2,Delayed transition,World,Primary Energy|Nuclear,EJ/yr,9.5105,8.0405,7.2232,7.8628,7.4773,6.1155,4.3418,2.3058,0.8694,0.2528
REMIND-MAgPIE 2.1-4.2,Delayed transition,World,Primary Energy|Oil,EJ/yr,173.5646,178.0371,197.7914,156.8966,80.9402,54.0601,40.3316,30.0236,26.4605,23.0833
REMIND-MAgPIE 2.1-4.2,Divergent Net Zero,World,Primary Energy|Biomass,EJ/yr,52.8509,59.6514,69.9384,78.8771,97.3767,109.7397,108.7415,106.518,105.4578,105.8017
REMIND-MAgPIE 2.1-4.2,Divergent Net Zero,World,Primary Energy|Coal,EJ/yr,146.9801,160.7689,27.8451,2.5176,2.5411,2.1096,1.7785,1.8728,1.9462,1.8469
REMIND-MAgPIE 2.1-4.2,Divergent Net Zero,World,Primary Energy|Gas,EJ/yr,103.5435,124.65,91.7782,55.6468,39.1826,32.0992,26.2512,24.5817,25.7396,28.8103
REMIND-MAgPIE 2.1-4.2,Divergent Net Zero,World,Primary Energy|Non-Biomass Renewables,EJ/yr,15.7437,28.6877,89.1866,163.5201,207.3609,240.8034,290.1338,335.2648,367.5022,406.924
REMIND-MAgPIE 2.1-4.2,Divergent Net Zero,World,Primary Energy|Nuclear,EJ/yr,9.5105,8.0405,7.5465,7.8652,7.2928,5.8704,4.0073,2.0319,0.8171,0.2209
REMIND-MAgPIE 2.1-4.2,Divergent Net Zero,World,Primary Energy|Oil,EJ/yr,173.5646,178.0371,168.5096,105.1621,51.7736,39.6975,37.5322,32.9691,27.8046,22.0046
REMIND-MAgPIE 2.1-4.2,Nationally Determined Contributions (NDCs) ,World,Primary Energy|Biomass,EJ/yr,52.8509,59.6514,63.4641,59.0796,55.4843,58.7532,71.3947,89.2204,98.7006,102.0357
REMIND-MAgPIE 2.1-4.2,Nationally Determined Contributions (NDCs) ,World,Primary Energy|Coal,EJ/yr,146.9801,160.7689,147.693,99.4518,61.2409,45.9537,37.8451,36.9138,31.3196,28.6141
REMIND-MAgPIE 2.1-4.2,Nationally Determined Contributions (NDCs) ,World,Primary Energy|Gas,EJ/yr,103.5435,124.65,138.011,136.8123,114.8403,96.4696,82.7152,78.5093,69.617,63.8039
REMIND-MAgPIE 2.1-4.2,Nationally Determined Contributions (NDCs) ,World,Primary Energy|Non-Biomass Renewables,EJ/yr,15.7437,28.6877,58.3679,104.9213,156.6388,206.0417,253.6016,293.8008,324.204,352.8648
REMIND-MAgPIE 2.1-4.2,Nationally Determined Contributions (NDCs) ,World,Primary Energy|Nuclear,EJ/yr,9.5105,8.0405,6.7495,6.0207,4.9598,3.4755,2.1485,1.1112,0.4685,0.1413
REMIND-MAgPIE 2.1-4.2,Nationally Determined Contributions (NDCs) ,World,Primary Energy|Oil,EJ/yr,173.5646,178.0371,190.8118,193.2695,171.4671,140.5267,115.717,95.0886,81.3103,72.8943
REMIND-MAgPIE 2.1-4.2,Net Zero 2050,World,Primary Energy|Biomass,EJ/yr,52.8509,59.6514,70.122,89.0619,110.7461,114.2846,108.2577,105.6001,104.8605,105.4436
REMIND-MAgPIE 2.1-4.2,Net Zero 2050,World,Primary Energy|Coal,EJ/yr,146.9801,160.7689,22.0496,2.9102,2.8955,2.2556,1.9603,2.0924,2.1999,2.2098
REMIND-MAgPIE 2.1-4.2,Net Zero 2050,World,Primary Energy|Gas,EJ/yr,103.5435,124.65,90.7125,55.1697,38.0753,34.8464,35.5423,34.4258,35.3302,39.3058
REMIND-MAgPIE 2.1-4.2,Net Zero 2050,World,Primary Energy|Non-Biomass Renewables,EJ/yr,15.7437,28.6877,89.5984,165.8453,210.8726,244.5946,288.4695,327.7585,355.5478,387.0835
REMIND-MAgPIE 2.1-4.2,Net Zero 2050,World,Primary Energy|Nuclear,EJ/yr,9.5105,8.0405,7.5383,7.5774,6.5775,4.8134,2.8915,1.1688,0.3369,0.0624
REMIND-MAgPIE 2.1-4.2,Net Zero 2050,World,Primary Energy|Oil,EJ/yr,173.5646,178.0371,180.5784,132.4297,79.6973,65.8122,63.0707,59.4639,54.9735,47.5456
